restaurant_id,category_menuitem,name_menuitem,description,price,id,position,name_restaurant,score,ratings,category_restaurant,price_range,full_address,zip_code,lat,lng
216,Entrees,opor ayam,"chicken slowly simmered in yellow curry sauce and herb, serve with yellow rice
",16.95 USD,216,10,Shiki Thai Sushi Restaurant,4.8,100.0,"Asian, Asian Cuisine, Family Friendly",$$,"3000 19th St S, Homewood, AL, 35209",35209,33.4783634,-86.7894193
342,Nori Greens,Gado - Gado Salad,Japanese dumpling.,11.95 USD,342,15,Nori (4704 Cahaba River Rd),4.8,82.0,"Thai, Asian, Noodles",$,"4704 Cahaba River Rd, Vestavia, AL, 35243",35243,33.43225,-86.73778
342,Nori Specialties,Ayam Penyet,Marinated beef rice bow.,15.95 USD,342,15,Nori (4704 Cahaba River Rd),4.8,82.0,"Thai, Asian, Noodles",$,"4704 Cahaba River Rd, Vestavia, AL, 35243",35243,33.43225,-86.73778
342,Nori Specialties,Ikan Balado,Smashed fried spring chicken with hot chili sauce.,29.95 USD,342,15,Nori (4704 Cahaba River Rd),4.8,82.0,"Thai, Asian, Noodles",$,"4704 Cahaba River Rd, Vestavia, AL, 35243",35243,33.43225,-86.73778
342,Nori Specialties,Sate Kambing,,19.95 USD,342,15,Nori (4704 Cahaba River Rd),4.8,82.0,"Thai, Asian, Noodles",$,"4704 Cahaba River Rd, Vestavia, AL, 35243",35243,33.43225,-86.73778
1974,Indonesian Entrees,Curry,"Hot and spicy. Chicken breast with cabbage, onions, green, and red peppers.",12.6 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Lamb Curry with Potatoes,Hot and spicy.,19.14 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Rendang Beef,Hot and spicy. Thick curry with potatoes.,16.74 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Sambal Udang,"Hot and spicy. Shrimp, green beans, onions, bamboo shoots, peppers, tofu, and tempeh.",15.9 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Bali,"Hot and spicy. Fried beef, pea pods, bamboo shoots, onions, tomatoes, green and red pepper, carrots, and cashew nuts.",15.54 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Ayam Goreng Mentega,Butter-dipped fried chicken with sweet Indonesian soy sauce.,16.74 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Hot Plate,"Chicken with pea pods, green and red pepper, onions, and scallions.",15.0 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Tom and Jerry Hot Plate,Shrimp and scallops.,17.94 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Singapore Rice Noodles,"Hot and spicy. Shrimp, chicken, and curry.",12.6 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Nasi Goreng,"Indonesian fried rice with shrimp, beef, chicken, and fried eggs.",14.4 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Kweetiau Goreng,"Thick rice noodles, shrimp, beef, Chinese sausage, and eggs.",12.6 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Biehun Goreng,Thin rice noodles.,12.6 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Indonesian Kung Pao Shrimp,Hot and spicy.,17.4 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Gado-Gado,Hot and spicy. Indonesian vegetarian delight with peanut sauce.,11.4 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,3 Delight Curry,"Hot and spicy. Shrimp, beef, and chicken.",17.4 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
1974,Indonesian Entrees,Laksa with Chicken,Hot and spicy. Indonesian red curry soup with coconut milk.,12.6 USD,1974,170,Peking Chef Inc,,,"Chinese: Other, Noodles",,"8673 North Port Washington Road, Fox Point, WI, 53217",53217,43.17373,-87.91269
2130,Burritos,Burrito Ahogado,"Filled with your choice of meat. Refried beans, lettuce, tomato, and cheese. Topped with melted cheese, mild red sauce, and sour cream (mild red sauce contains peanuts). Served with rice and refried beans or black beans.",17.95 USD,2130,161,El Tenampa Mexican Grill,4.3,83.0,"Mexican, Tacos, Breakfast and Brunch",$,"8660 N 107th St, Milwaukee, WI, 53224",53224,43.175256,-88.0437797
